name,ring,quadrant,isNew,description
Parker Review Recommendations,Plan,Corporate Governance,FALSE,"<p>
<b>DEVELOPMENT</b>
<br>The Parker Review, led by Sir John Parker, identified that minority ethnic directors were vastly under-represented on the boards of the UK’s leading companies. It recommended, in its first report in 2017, that there should be one director from a minority ethnic background on each FTSE 250 board by 2024. 
<br><br>
In March 2023, the Parker Review published an updated report and new targets were set out:
<br><br>
•	FTSE 350 companies will need to set their target for the percentage of senior management who identify as being from an ethnic minority background by December 2023 and then they will be required to meet this target by December 2027. <br>
•	50 of the UK's largest private companies have been set a target of having at least one director from an ethnic minority background on the main board by December 2027.<br><br>

On 11 March 2024, the Parker Review Committee issued an update report. The scope of the Review was extended in 2023 and the report includes the data collected so far in relation to this extended scope. <br><br>

The report sets out (as at December 2023 and of the companies that responded to the relevant questions):<br>
•	The percentage of companies with at least one ethnic minority director (96% of FTSE 100 companies, 70% of FTSE 250 companies and 44% of private companies).<br>
•	The percentage of board directorships represented by ethnic minority directors (19% of FTSE 100 companies, 13.5% of FTSE 250 companies and 11% of private companies).<br>
•	The average percentage of ethnic minority representation in senior management (13% of FTSE 100 companies and 12% of FTSE 250 companies).<br>
•	The average target for the proportion of ethnic minority representation in senior management in 2027 (17%, although the range was from 5% to 45%, for FTSE 100 companies and 15.5% for the FTSE 250 companies).<br>
<br>
<br>
<b>WHAT SHOULD I DO?</b>
<br>If an entity is part of a group with an ultimate parent company that meets the criteria to which the recommendations of the Parker Review apply, these recommendations should be considered as part of any board succession planning.
</p>"
UK Prospectus and Market Abuse Regulation,Prepare,Corporate Governance,FALSE,"<p>
<b>DEVELOPMENT</b>
<br>The Financial Services and Markets Act 2023 (FSMA 2023) received royal assent on 29 June 2023. It will, when relevant sections are brought into force, revoke the UK Market Abuse Regulation and the UK Prospectus Regulation – both of which are part of retained EU law post Brexit. incorporates key reforms to the regulation of the UK Financial Services sector.  
<br><br>
Once the UK Prospectus Regulation and the UK Market Abuse Regulation have been revoked, the FCA will have the power to:<br>
• set out guidelines on what inside information is and what the disclosure of inside information means; and<br>
• determine when a prospectus is required and what its content should be.
<br><br>
On 29 January 2024, the Public Offers and Admissions to Trading Regulations 2024 were made. The Regulations create the statutory architecture for a new rules-based framework for regulating public offerings of securities and admissions to trading on regulated markets in the UK, replacing the existing EU-derived prospectus regime.<br><br>

Although these regulations create a framework for the new regime, detailed requirements will be set out in the new FCA rules. The FCA has already sought views via a series of engagement papers.
<br>
<br>
<b>WHAT SHOULD I DO?</b>
<br>The FCA is expected to publish a formal consultation on the detailed rules in the first half of 2024. The new regime will come into force after the FCA has completed its consultation exercise.<br><br>

Listed companies should monitor the progress of this closely.</p>"
Diversity and inclusion in the financial sector ,Prepare,Corporate Governance,FALSE,"<p>
<b>DEVELOPMENT</b>
<br>On 25 September 2023, the FCA Published ""Consultation Paper 23/20: Diversity and inclusion in the financial sector - working together to drive change"" (CP 23/20) which contains proposals to introduce a new regulatory framework on diversity and inclusion in the financial sector. 
<br><br>
Proposals in CP 23/20 will require in-scope firms to do the following:<br>
•	report their average number of employees to the FCA on an annual basis;<br>
•	establish, implement and maintain a diversity and inclusion strategy;<br>
•	collect, report and disclose certain diversity and inclusion data;<br>
•	determine and set appropriate diversity targets; and<br>
•	recognise a lack of diversity and inclusion as a non-financial risk.<br><br>
The PRA has also published its own proposals regarding diversity and inclusion in PRA-regulated firms (in its ""Consultation Paper 18/23 - Diversity and inclusion in PRA-regulated firms""), with the regulators working closely to develop a consistent and coordinated set of proposals for consultation.
<br>
<br>
<b>WHAT SHOULD I DO?</b>
<br>Most of these requirements (around setting targets, regulatory reporting and disclosure) would be applicable only to the largest firms (as defined and set out in further detail in the consultation paper).</p>"
Economic Crime and Corporate Transparency Act 2023,Monitor,Corporate Governance,FALSE,"<p>
<b>DEVELOPMENT</b>
<br>On 26 October 2023, the Economic Crime and Corporate Transparency Bill received Royal Assent, becoming the Economic Crime and Corporate Transparency Act 2023 (ECCTA 2023).<br><br>

Key changes include the following:<br>
•	introduction of an identity verification regime for new and existing directors, LLP members and PSCs. This new identity verification regime is not included in this list of early measures.<br>
•	Restriction on the use of corporate directors of UK companies (via the Small Business Enterprise and Employment Act).<br>
•	UK limited partnerships changes: (i) requiring a connection with the UK; (ii) increasing registration and transparency requirements; and (iii) enabling Companies House to deregister limited partnerships.<br>
•	to widen the scope of corporate criminal liability by creating a new offence of failure to prevent fraud committed by employees or agents. The government has stuck with plans to apply the offence to businesses that meet two of three criteria: they have 250 employees, £36m (US$43.5m) in sales or £18m in assets. Companies will have a defence for breaching the law by proving they had set up compliance controls intended to prevent fraud. <br>
•	extending senior manager attribution liability from 26 December 2023 – it will be possible for a corporate to be found criminally liable for certain offences committed by a 'senior manager', so long as they were acting within the 'actual or apparent scope of their authority' when they did the criminal act. The definition of a senior manager is broader than director and is based on role and responsibilities rather than job description. This would apply to any body corporate, partnership or limited partnership, wherever it is formed or operates.<br>
•	Improvements to the quality of financial information on the register - there will be a requirement to file accounts in iXBRL format.<br>
•	Enhanced reporting of company accounting information.<br>
<br>
On 1 March 2024, The Economic Crime and Corporate Transparency Act 2023 (Commencement No. 2 and Transitional Provision) Regulations 2024 (SI 2024/269) were published. Regulation 2 provides that most of the provisions of Part 1 of ECCTA will come into force on 4 March 2024. The mandatory identity verification regime for new and existing directors, PSCs and those filing documents at Companies House is excluded as expected (these changes are anticipated later in 2024). Alongside with these reforms, the government's existing power under s87(4) Small Business, Enterprise and Employment Act 2015 to restrict the use of corporate directors was also implemented on 4 March 2024 for the purpose of bringing into force section 156B (power to provide for exceptions from requirement that each director be a natural person). This is under the Small Business, Enterprise and Employment Act 2015 (Commencement No. 8) Regulations 2024. The regulations setting out these exceptions are unlikely to be published until the ID verification provisions are commenced. <br><br>

The 4 March changes cover the following: <br>
•	introducing the Registrar's new objectives and greater powers to check, query and reject information and request supporting evidence; <br>
•	stronger checks on company names; <br>
•	new rules for an 'appropriate' registered office address (so no PO Boxes); <br>
•	a requirement to supply a registered email address; <br>
•	a requirement for all companies to confirm they are forming the company for a lawful purpose when they incorporate, and to confirm its intended future activities will be lawful on their annual confirmation statement (CS01); <br>
•	the ability for the Registrar to annotate the register when information appears confusing or misleading; <br>
•	taking steps to clean up the register, using data matching to identify and remove inaccurate information; <br>
•	sharing data with other government departments and law enforcement agencies;<br>
•	greater protection for personal information on the register;<br>
•	increased civil and criminal sanctions to reflect new obligations – these include a new aggravated offence for delivering false statements to the registrar and a new civil penalties regime allowing the registrar to impose a financial penalty for many CA 2006 offences; and<br>
•	directors and disqualification – a director will cease to hold office if disqualified under the disqualification regime.  Section 31, which expands the grounds on which a director can be disqualified to include persistent breaches of certain companies' legislation, has not come into force.<br>
<br>
The following secondary legislation has been made under ECCTA which came into force on 4 March 2024:<br>
•	the Registered Office Address (Rectification of Register) Regulations 2024 give the registrar power to change a company's registered office address to a default address where satisfied that it is not an 'appropriate address';<br>
•	the Service Address (Rectification of Register) Regulations 2024 give the registrar similar rectification powers in relation to registered service addresses of a director, secretary, PSC or RLE to a default address; <br>
•	the Principal Office Address (Rectification of Register) Regulations 2024 give the registrar similar rectification powers in relation to the principal office address of a director, secretary, PSC or RLE to a default address; and <br>
•	the Limited Liability Partnerships (Application of Company Law) Regulations 2024 which provide for the application of certain reforms under ECCTA 2023 to LLPs.<br>
<br>
Companies House has also published updated guidance and forms to reflect the 4 March changes.<br>
<br>
<br>
<b>WHAT SHOULD I DO?</b>
<br>Clients should monitor the government's implementation timetable and plan key actions accordingly. 
<br><br>
For example, UK incorporated companies will need ensure that all directors, PSCs (and Relevant Legal Entities) (and, where relevant, officers of such entities) and other persons filing on behalf of UK companies, LLPs and LPs have had their identity verified via one of the 2 methods for Identity Verification in order that each such individual obtains a unique identifier number to ensure it can continue to act in its appointed function.
<br><br>
Groups should also review their current corporate group structure to identify   whether has any UK corporate directors and, if so, take early steps to comply with the new verification requirements applying to natural persons acting as directors and/or any existing corporate directors.
<br><br>
Any new UK incorporated subsidiaries will need to comply with these measures as part of the incorporation process, which may add time and expense to set-up.
<br><br>
On an ongoing basis, UK incorporated companies should take due care when making filings in respect of its UK incorporated group companies (including, without limitation, whether any such companies will, upon the relevant parts of the Act becoming effective, the requirement to comply with the more rigorous financial reporting requirements that will be imposed on all micro entities and small and dormant companies).
<br><br>
UK incorporated companies will need to provide both a registered email address (to be supplied to Companies House and to which it can send communications) and a lawful purpose statement – when filing their next confirmation statement with a statement date from 5 March 2024. They will also need to ensure that at all times, their registered office is an ""appropriate registered office address"".
<br><br>
UK incorporated companies should discuss with their (group) accountants whether they are set-up to file using the new software-only filing system to be introduced by the Act (i.e., paper and Web filing will no longer be permitted).
<br><br>
If groups have any limited partnerships in their group structure, the filing and disclosure obligations will become more burdensome.</p>"
Withdrawal of the draft Companies Regulations 2023,Plan,Corporate Governance,FALSE,"<p>
<b>DEVELOPMENT</b>
<br>On 16 October 2023, the Department for Business and Trade announced that the government has withdrawn the draft Companies (Strategic Report and Directors' Report) (Amendment) Regulations 2023, in response to concerns raised by companies about the imposition of additional reporting requirements. These had been laid before parliament in July 2023.
<br><br>
They would have added certain additional corporate and company reporting requirements to large UK listed and private companies with ""a high level of employees and turnover"" (broadly companies with 750 or more employees and turnover of at least £750m). These would have included an annual resilience statement, distributable profits figure, material fraud statement and triennial audit and assurance policy statement.
<br><br>
In consultation, companies raised concerns about these additional reporting requirements which would have involved them incurring extra costs by requiring them to include additional corporate information in their annual reports.
<br>
<br>
<b>WHAT SHOULD I DO?</b>
<br>The government will instead be proposing a new reform package that aims to deliver a more targeted, simpler and effective reporting framework for both business and investors.
<br><br>
In addition, the announcement also confirms that the government remains committed to the wider audit and governance reform, including establishing ARGA to replace the FRC and that legislation will be brought forward to deliver these reforms where Parliamentary time allows.</p>"
FRC publishes revised UK Corporate Governance Code,Prepare,Corporate Governance,FALSE,"<p>
<b>DEVELOPMENT</b>
<br>On 22 January 2024, the FRC announced the publication of revisions to the 2018 UK Corporate Governance Code. Alongside a revised version of the UKCG Code, the FRC has also published certain supporting materials. On 29 January 2024, the FRC published guidance to accompany the revised version of the Code – although not mandatory, it is intended to support those applying the updated Code and consolidates previously published guidance into a single document.
<br><br>
Following the withdrawal of the draft Companies (Strategic Report and Directors' Report) (Amendment) Regulations 2023 and the FRC's policy update in November 2023, certain amendments included in the consultation version of the Code have not been incorporated into the final version. One of the drivers for the FRC's decision to scale back the reform of the Corporate Governance Code is the concern from businesses about the introduction of yet more corporate reporting obligations.
<br>
<br>
<b>WHAT SHOULD I DO?</b>
<br>Key changes include the following:<br>
1. Governance reporting should focus on board decisions and their outcomes. New Principle C states that where the board reports on departures from the Code's provisions, it should provide a clear explanation.<br>
2. The requirement to assess and monitor how the company's desired culture has been embedded.<br>
3. Board appointments and succession planning should promote diversity, inclusion and equal opportunity. The list of diversity characteristics has been removed to reflect that diversity policies can be wide ranging.<br>
4. Monitoring and review of the company's risk management and internal control framework should cover all material controls, including financial, operational, reporting and compliance controls. Furthermore, the Code has been amended to include a requirement that the board should include in the annual report (i) a description of how the board has monitored and reviewed the effectiveness of the framework and (ii) a declaration of the effectiveness of the material controls as at the balance date sheet. There is also a requirement to include a description of any material controls which have not operated effectively as at the balance sheet date, the action taken, or proposed, to improve them and any action taken to address previously reported issues.<br>
5. Directors' contracts and/or any other agreements relate to director remuneration should include malus and clawback. In addition, a description of a company's malus and clawback provisions should be included in the annual report.</p>"
Corporate Sustainability Due Diligence Directive,Action,Corporate Governance,FALSE,"<p>
<b>DEVELOPMENT</b>
<br>The Directive establishes a corporate due diligence duty.  It aims to foster responsible corporate behaviour and to anchor human rights and environmental considerations in companies’ operations and corporate governance. The new rules will ensure that businesses address adverse impacts of their actions, including in their value chains. Such impact will include slavery, child labour, labour exploitation, biodiversity loss, pollution or destruction of natural heritage.
<br><br>
Large EU companies and non-EU companies with significant EU activity will need to identify, prevent, mitigate, end and account for certain adverse human rights and environmental impacts. The recently adopted text makes several substantive changes to the original Commission proposal, including increasing the applicable thresholds for in scope companies, now set at over 1000 employees and a worldwide turnover above 450m euro.
<br>
<br>
<b>WHAT SHOULD I DO?</b>
<br>If there is a likelihood of these thresholds being met, an early impact assessment of current internal policies would be advisable in order for the in-scope entity to assess whether any revisions would be necessary to internal policies and procedures to ensure that the in-scope entity can meet the standards imposed by the due diligence duty etc.</p>"
Diversity & Inclusion,Prepare,Corporate Governance,FALSE,"<p>
<b>DEVELOPMENT</b>
<br>On 25 September 2023, the FCA published a consultation paper on proposals to introduce a new regulatory framework on diversity and inclusion (D&I) in the financial sector. <br><br>
The FCA's framework would apply differently to firms depending on their number of employees, their categorisation under the Senior Managers and Certification Regime (SMCR), and whether they are dual-regulated. To reduce regulatory burden, smaller firms with fewer than 251 employees would be exempt from many of the requirements. 
<br><br>
<b>WHAT SHOULD I DO?</b>
<br>Firms regulated by the FCA will be subject to new regulatory measures which aim to enhance D&I within their firms. The FCA plans to publish a Policy Statement in H2 2024 with an implementation date 12 months after the publication of the Policy Statement.</p>"
The Equality Act,Monitor,Corporate Governance,FALSE,"<p>
<b>DEVELOPMENT</b>
<br>The Equality Act 2010 serves as a legal safeguard against discrimination in both the workplace and broader society. This Act consolidates previous anti-discrimination laws into one comprehensive piece of legislation, simplifying the legal framework while enhancing protection in certain scenarios. It outlines various forms of unlawful treatment towards individuals.<br>
Furthermore, the public sector Equality Duty, effective from 5 April 2011 across Great Britain, obligates public organisations to consider the impact of their actions on all individuals. This includes the development of policies, the provision of services, and employment practices. Public bodies are specifically mandated to focus on eliminating discrimination, promoting equal opportunities, and encouraging positive interactions among diverse groups during their operations.
<br><br>
<b>WHAT SHOULD I DO?</b>
<br>Businesses should continue to monitor the Equality Act for new amendments. The latest is The Worker Protection (Amendment of Equality Act 2010) Act 2023 that will come into force in October 2024. Under the Act, employers will be under a new duty to take reasonable steps to prevent sexual harassment of their employees in the course of their employment.</p>"
Capacity Market reform,Action,Energy,FALSE,"<p>
<b>DEVELOPMENT</b>
<br>There was a consultation in January 2023 on a range of proposals to reform the Capacity Market. These are being taken forward in 2 phases. The Phase 1 proposals should be in place by the 2024 auctions and the Phase 2 proposals are subject to a further consultation, which opened on 16 October 2023 and closed on 8 December 2023.
<br>
<br>
<b>WHAT SHOULD I DO?</b>
<br>Clients should ensure they are familiar with the proposals. Phase 1 proposals include:
An extension to the temporary arrangements removing barriers to mothballed plant entering the Capacity Market (with a more enduring solution falling into phase 2).<br><br>
A temporary delay to the requirement for fossil fuel emissions declaration verification from prequalification 2023 to 2024 with any verification carried out in 2023 also being valid in 2024. This is to mitigate the risks of low numbers of accredited Independent Emissions Verifiers available for the 2023 prequalification window.<br><br>

The Phase 2 proposals are designed to improve security of supply and accelerate investment in low carbon technologies, including battery storage and demand side response. They include:<br>
Clarifying that a site cannot prequalify for the CM auction if they hold a CfD for a future delivery year<br>
Clarifying that battery augmentation is permitted so that storage CMUs can manage the natural decline in capacity due to degradation<br>
Setting out our plans to implement 9-year agreements and Capex thresholds for low carbon, new build and refurbishing capacity<br>
Building on the January 2023 consultation which asked for feedback on challenges faced by projects with long build times and potential supportive measures by proposing to offer a 24 month declared long stop date, in addition to the existing 12 month long stop date, for new build and refurbishing low carbon projects meeting the Capex thresholds of 15 and proposed 9-year agreements participating in T-4 auction<br>
Seeking evidence and views on creating new Generating Technology Classes to cover DSR<br>
Proposing that CM emissions are published on the CM register</p>"
